school,slug,team,city,state,state_abbr,type,conference,division
Academy of Art University,AOAU76,Urban Knights,San Francisco,California,CA,,Pacific West Conference,D2
Adams State University,ASU129,Grizzlies,Alamosa,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Adelphi University,AU752,Panthers,Garden City,New York,NY,,Northeast-10 Conference,D2
Adrian College,AC558,Bulldogs,Adrian,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Agnes Scott College,ASC231,Scotties,Decatur,Georgia,GA,,USA South Athletic Conference,D3
Alabama Agricultural and Mechanical University,AAAMU1,Bulldogs and Lady Bulldogs,Huntsville,Alabama,AL,State,Southwestern Athletic Conference,D1
Alabama State University,ASU3,Hornets and Lady Hornets,Montgomery,Alabama,AL,State,Southwestern Athletic Conference,D1
Albany State University,ASU215,Golden Rams,Albany,Georgia,GA,,Southern Intercollegiate Athletic Conference,D2
Albertus Magnus College,AMC152,Falcons,New Haven,Connecticut,CT,,Great Northeast Athletic Conference,D3
Albion College,AC559,Britons,Albion,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Albright College,AC1020,Lions,Reading,Pennsylvania,PA,,MAC Commonwealth Conference,D3
Alcorn State University,ASU607,Braves and Lady Braves,Lorman,Mississippi,MS,State,Southwestern Athletic Conference,D1
Alderson Broaddus University,ABU1300,Battlers,Philippi,West Virginia,WV,,Great Midwest Athletic Conference,D2
Alfred State College,ASC768,Pioneers,Alfred,New York,NY,,Independent,D3
Alfred University,AU767,Saxons,Alfred,New York,NY,,Empire 8,D3
Alice Lloyd College,ALC420,Eagles,Pippa Passes,Kentucky,KY,,River States Conference,NAIA II
Allegheny College,AC1021,Gators,Meadville,Pennsylvania,PA,,North Coast Athletic Conference,D3
Allen University,AU1116,Yellow Jackets,Columbia,South Carolina,SC,,Appalachian Athletic Conference,NAIA II
Alma College,AC560,Scots,Alma,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Alvernia University,AU1022,Crusaders,Reading,Pennsylvania,PA,,MAC Commonwealth Conference,D3
Alverno College,AC1321,Inferno,Milwaukee,Wisconsin,WI,,Northern Athletics Collegiate Conference,D3
American International College,AIC491,Yellow Jackets,Springfield,Massachusetts,MS,,Northeast-10 Conference,D2
American University,AU166,Eagles,Washington,District of Columbia,DC,Private/Methodist,Patriot League,D1
Amherst College,AC496,Mammoths,Amherst,Massachusetts,MS,,New England Small College Athletic Conference,D3
Anderson University,AU328,Ravens and Lady Ravens,Anderson,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
Anderson University,AU1103,Trojans,Anderson,South Carolina,SC,,South Atlantic Conference,D2
Angelo State University,ASU1186,Rams & Rambelles,San Angelo,Texas,TX,,Lone Star Conference,D2
Anna Maria College,AMC497,AMCATS,Paxton,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Appalachian State University,ASU833,Mountaineers,Boone,North Carolina,NC,State,Sun Belt Conference,D1
Aquinas College,AC566,Saints,Grand Rapids,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Arcadia University,AU1023,Knights,Glenside,Pennsylvania,PA,,MAC Commonwealth Conference,D3
Arizona Christian University,ACU26,Firestorm,Phoenix,Arizona,AZ,,Golden State Athletic Conference,NAIA I
Arizona State University,ASU24,Sun Devils,Tempe,Arizona,AZ,State,Pac-12 Conference,D1
Arkansas State University,ASU32,Red Wolves,Jonesboro,Arkansas,AR,State,Sun Belt Conference,D1
Arkansas Tech University,ATU34,Wonder Boys & Golden Suns,Russellville,Arkansas,AR,,Great American Conference,D2
Armstrong State University,ASU216,Pirates,Savannah,Georgia,GA,,Peach Belt Conference,D2
Asbury University,AU421,Eagles,Wilmore,Kentucky,KY,,River States Conference,NAIA II
Ashland University,AU901,Eagles,Ashland,Ohio,OH,,Great Lakes Intercollegiate Athletic Conference,D2
Assumption College,AC492,Greyhounds,Worcester,Massachusetts,MS,,Northeast-10 Conference,D2
Auburn University,AU4,Tigers,Auburn,Alabama,AL,State,Southeastern Conference,D1
Augsburg College,AC587,Auggies,Minneapolis,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Augusta University,AU217,Jaguars,Augusta,Georgia,GA,,Peach Belt Conference,D2
Augustana College,AC280,Vikings,Rock Island,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Augustana University,AU1123,Vikings,Sioux Falls,South Dakota,SD,,Northern Sun Intercollegiate Conference,D2
Aurora University,AU281,Spartans,Aurora,Illinois,IL,,Northern Athletics Collegiate Conference,D3
Austin College,AC1199,Kangaroos,Sherman,Texas,TX,,Southern Collegiate Athletic Conference,D3
Austin Peay State University,APSU1132,Governors and Lady Govs,Clarksville,Tennessee,TN,State,Ohio Valley Conference,D1
Ave Maria University,AMU199,Gyrenes,Ave Maria,Florida,FL,,Sun Conference,NAIA II
