school,slug,acceptance_rate,sat_total_25th_percentile,sat_total_75th_percentile,act_25th_percentile,act_75th_percentile,graduation_rate,public_or_private,student_to_faculty_ratio,campus_setting,enrollment,in_state_cost,out_state_cost,average_financial_aid,street_address,city,state,zip,phone,website,applicants,accepted,enrolled,percent_submitting_sat,percent_submitting_act,sat_critical_reading_25th_percentile,sat_critical_reading_75th_percentile,sat_math_25th_percentile,sat_math_75th_percentile,sat_writing_25th_percentile,sat_writing_75th_percentile,act_english_25th_percentile,act_english_75th_percentile,act_math_25th_percentile,act_math_75th_percentile_score,
Abilene Christian University,,49%,1455,1830,21,27,58%,Private,18,City,4669," $32,300 "," $32,300 "," $9,362 ",1600 Campus Court,Abilene,TX,79699,3256742000,www.acu.edu,3712,1823,983,55,45,480,600,490,620,485,610,20,28,20,26,
Adams State College,ASU129,57%,1218,1608,17,22,27%,Public,14,Town,2920," $15,989 "," $25,133 "," $6,727 ",208 Edgemont Blvd,Alamosa,CO,81102,7195877011,www.adams.edu,2332,1335,566,15,84,400,550,420,545,398,513,16,22,15,22,
Adelphi University,AU752,70%,1478,1770,20,26,64%,Private,12,Suburb,8177," $40,030 "," $40,030 "," $10,892 ",South Ave,Garden City,NY,11530-0701,5168773000,www.adelphi.edu,7349,5125,1005,76,15,480,580,500,600,498,590,20,26,20,26,
Adrian College,AC558,58%,NR,NR,20,25,50%,Private,14,Town,1469," $34,242 "," $34,242 "," $9,989 ",110 S Madison St,Adrian,MI,49221-2575,5172655161,www.adrian.edu,3944,2285,500,0,90,,,,,0,0,19,25,19,25,
Agnes Scott College,ASC231,46%,NR,NR,NR,NR,71%,Private,9,Suburb,832," $41,955 "," $41,955 "," $21,869 ",141 E. College Ave,Decatur,GA,30030-3797,4044716000,www.agnesscott.edu,1984,918,237,,,,,,,0,0,,,,,
Alabama A & M University,AAAMU1,47%,1160,1400,16,19,33%,Public,14,City,5124," $13,922 "," $17,868 "," $3,956 ",4900 Meridian St,Normal,AL,35762,2563725000,www.aamu.edu/,5705,2696,1050,10,73,400,470,380,470,380,460,15,20,15,18,
Alabama State University,ASU3,46%,1080,1335,15,18,21%,Public,16,City,5695," $15,212 "," $20,828 "," $6,320 ",915 S Jackson Street,Montgomery,AL,36101-0271,3342294400,www.alasu.edu,8510,3936,1378,19,82,360,440,360,450,360,445,13,19,15,17,
Albany State University,UAAS730,30%,1215,1425,17,19,50%,Public,20,City,4176," $14,736 "," $24,028 "," $5,188 ",504 College Dr.,Albany,GA,31705,2294304600,www.asurams.edu/,5494,1641,625,79,53,410,480,400,470,405,475,16,20,16,19,
Albertus Magnus College,AMC152,84%,1280,1360,NR,NR,56%,Private,21,City,2129," $39,124 "," $39,124 "," $8,787 ",700 Prospect St,New Haven,CT,06511-1189,2037738550,www.albertus.edu,593,499,136,95,1,420,455,415,435,445,470,,,,,
Albion College,AC559,79%,1635,1995,22,28,73%,Private,12,Town,1860," $40,016 "," $40,016 "," $16,596 ",611 E Porter St,Albion,MI,49224,5176291000,www.albion.edu,1780,1413,434,6,97,530,660,560,670,545,665,21,28,21,27,
Albright College,AC1020,56%,NR,NR,NR,NR,64%,Private,15,City,2305," $42,870 "," $42,870 "," $15,782 ",1621 N. 13th St.,Reading,PA,19612-5234,6109212381,www.albright.edu,5565,3113,541,,,,,,,0,0,,,,,
