school,slug,nickname,state,field,head_coach,conference,world_series_appearances,titles
Abilene Christian University,,Wildcats,Texas,Poly Wells Field,Bobby Reeves,Southland,None,None
"Alabama Agricultural and Mechanical University
(Alabama A&M)",AAAMU1,Lady Bulldogs,Alabama,Bulldog Field,Nedra Brown,SWAC,None,None
Alabama State University,ASU3,Lady Hornets,Alabama,Barbara Williams Softball Complex,Telma O'Neal Hall,SWAC,None,None
Alcorn State University,ASU607,Lady Braves,Mississippi,ASU Softball Park,Jessica Harris,SWAC,None,None
Appalachian State University,ASU833,Mountaineers,North Carolina,Sywassink/Lloyd Family Stadium,Shae Wesley,Sun Belt,None,None
Arizona State University,ASU24,Sun Devils,Arizona,Alberta B. Farrington Softball Stadium,Trisha Ford,Pac-12,"1971, 1972, 1973, 1976, 1977, 1978, 1979,[2] 1982 (NCAA), 1987, 1999, 2002, 2006, 2007, 2008, 2009, 2011, 2012, 2013","1972, 1973, 2008, 2011"
Auburn University,AU4,Tigers,Alabama,Jane B. Moore Field,Clint Myers,SEC,"2015, 2016",None
"Austin Peay State University
(Austin Peay)",APSU1132,Lady Govs,Tennessee,Cheryl Holt Field,Shane Showalter,Ohio Valley,None,None
Ball State University,BSU314,Cardinals,Indiana,BSU Softball Complex,Megan Ciolli Bartlett,Mid-American,"1973, 1975[2]",None
Baylor University,BU1165,Lady Bears,Texas,Getterman Stadium,Glenn Moore,Big 12,"2007, 2011, 2014",None
Belmont University,BU1133,Bruins,Tennessee,E. S. Rose Park,Brian Levin,Ohio Valley,None,None
Bethune-Cookman University,BCU174,Wildcats,Florida,Sunnyland Park,Chris Cochran,MEAC,None,None
Boise State University,BSU257,Broncos,Idaho,Dona Larsen Park,Cindy Ball Malone,Mountain West,None,None
"Boston College
(BC)",BC485,Eagles,Massachusetts,Shea Softball Field,Ashley Obrest,ACC,None,None
"Boston University
(BU)",BU486,Terriers,Massachusetts,Boston University Softball Field,Ashley Waters,Patriot League,None,None
"Bowling Green State University
(Bowling Green)",BGSU889,Falcons,Ohio,Meserve Field,Sarah Willis,Mid-American,None,None
Bradley University,BU263,Braves,Illinois,Laura Bradley Park,Amy Hayes,Missouri Valley,None,None
"Brigham Young University
(BYU)",BYU1227,Cougars,Utah,Gail Miller Field at Miller Park,Gordon Eakin,West Coast,None,None
Brown University,BU1083,Bears,Rhode Island,Brown Softball Field,Katie Flynn,Ivy League,None,None
Bryant University,BU1084,Bulldogs,Rhode Island,Bryant Softball Complex at Conaty Park,Shayne Lotito,Northeast,None,None
Bucknell University,BU983,Bison,Pennsylvania,Becker Field,Courtnay Foster,Patriot League,None,None
Butler University,BU315,Bulldogs,Indiana,Butler Softball Field,Scott Hall,Big East,None,None
"California Polytechnic State University
(Cal Poly)",CPSU56,Mustangs,California,Bob Janssen Field,Jenny Condon,Big West,None,None
"California State University, Bakersfield
(CSU Bakersfield)",CSUB59,Roadrunners,California,Roadrunner Softball Complex,Crissy Buck,Western Athletic,None,None
"California State University, Fresno
(Fresno State)",CSUF60,Bulldogs,California,Bulldog Diamond,Linda Garza,Mountain West,"1982 (NCAA), 1984, 1987, 1988, 1989, 1990, 1991, 1992, 1994, 1997, 1998, 1999",1998
"California State University, Fullerton
(Cal State Fullerton)",CSUF61,Titans,California,Anderson Family Field,Kelly Ford,Big West,"1980, 1981,[2] 1982 (NCAA), 1983, 1985, 1986, 1987, 1995",1986
"California State University, Long Beach
(Long Beach State)",CSULB62,49ers,California,49er Softball Complex,Kim Sowder,Big West,"1986, 1990, 1991, 1992, 1993",None
"California State University, Northridge
(Cal State Northridge or CSUN)",CSUN63,Matadors,California,Matador Diamond,Tairia Flowers,Big West,"1993, 1994",None
"California State University, Sacramento
(Sacramento State)",CSUS64,Hornets,California,Shea Stadium,Kathy Strahan,Big Sky,"1976, 1977[2]",None
Campbell University,CU834,Lady Camels,North Carolina,Amanda Littlejohn Stadium,Drew Peterson,Big South,None,None
Canisius College,CC733,Golden Griffins,New York,Demske Sports Complex,Mike Rappl,MAAC,None,None
Central Connecticut State University,CCSU141,Blue Devils,Connecticut,CCSU Softball Field,Breanne Gleason,Northeast,None,None
Central Michigan University,CMU542,Chippewas,Michigan,Margo Jonker Stadium,Margo Jonker,Mid-American,"1982 (AIAW),[2] 1987",None
Charleston Southern University,CSU1092,Buccaneers,South Carolina,CSU Softball Field,Shane Winkler,Big South,None,None
Cleveland State University,CSU891,Vikings,Ohio,Viking Field,Becky Norris,Horizon League,None,None
Coastal Carolina University,CCU1095,Chanticleers,South Carolina,Coastal Carolina Softball Field,Kelley Green,Sun Belt,None,None
Colgate University,CU734,Raiders,New York,Eaton Street Softball Complex,Melissa Finley,Patriot League,None,None
College of Charleston,COC1091,Cougars,South Carolina,Patriots Point Athletics Complex,Linda Kalafatis,CAA,None,None
College of the Holy Cross,COTHC488,Crusaders,Massachusetts,Freshman Field,Jen Lapicki,Patriot League,None,None
Colorado State University,CSU125,Rams,Colorado,Ram Field,Jen Fisher,Mountain West,None,None
Columbia University,CU735,Lions,New York,Columbia Softball Field,Kayla Noonan,Ivy League,None,None
Coppin State University,CSU464,Eagles,Maryland,Coppin State Softball Complex,Larry Hineline,MEAC,None,None
Cornell University,CU736,Big Red,New York,Niemand*Robison Field,Dick Blood,Ivy League,None,None
Creighton University,CU667,Bluejays,Nebraska,Creighton Sports Complex,Brent Vigness,Big East,"1969, 1980, 1981,[2] 1982 (NCAA), 1986",None
Dartmouth College,DC685,Big Green,New Hampshire,Dartmouth Softball Park,Shannon Doepking,Ivy League,None,None
Delaware State University,DSU162,Hornets,Delaware,The Hornets Nest,Amber Jackson,MEAC,None,None
DePaul University,DU265,Blue Demons,Illinois,Cacciatore Stadium,Eugene Lenti,Big East,"1999, 2000, 2005, 2007",None
Drake University,DU355,Bulldogs,Iowa,Ron Buel Field,Rich Calvert,Missouri Valley,None,None
Drexel University,DU984,Dragons,Pennsylvania,Drexel Softball Field,Carl Taylor,CAA,None,None
East Carolina University,ECU837,Pirates,North Carolina,ECU Softball Stadium,Courtney Oliver,The American,None,None
"East Tennessee State University
(East Tennessee or ETSU)",ETSU1134,Lady Buccaneers,Tennessee,Betty Basler Field,Brad Irwin,Southern,None,None
Eastern Illinois University,EIU266,Panthers,Illinois,Williams Field,Kim Schuette,Ohio Valley,"1971, 1974[2]",None
Eastern Kentucky University,EKU405,Lady Colonels,Kentucky,Gertrude Hood Field,Jane Worthington,Ohio Valley,None,None
Eastern Michigan University,EMU544,Eagles,Michigan,Varsity Field,Melissa Gentile,Mid-American,None,None
Elon University,EU838,Phoenix,North Carolina,Hunt Softball Park,Kathy Bocock,CAA,None,None
Fairfield University,FU143,Stags,Connecticut,Alumni Softball Field,Julie Brzezinski,MAAC,None,None
Fairleigh Dickinson University,FDU696,Knights,New Jersey,FDU Softball Field,Katherine Kelley,Northeast,None,None
"Florida Agricultural and Mechanical University
(Florida A&M)",FAMU177,Lady Rattlers,Florida,Lady Rattler Softball Complex,Veronica Wiggins,MEAC,None,None
Florida Atlantic University,FAU178,Owls,Florida,FAU Softball Stadium,Joan Joyce,Conference USA,None,None
